Type,Description,Community,List Price,Sold Price,Taxes,Street Name,St#,Bedroom,BedPlus,Baths,Front,Parking Drive Spaces,Depth,Garage Type,Pool,Remarks For Brokers,Remarks For Clients,Extras,Basement1,Basement2
Att/Row/Twn...,2-Storey,Brock Ridge,"$569,999","$530,000","$3,650",Major Oaks,1489,3,1,4,21,1,100,Attached,None,Buyer/Buyer's Agent To Verify All Measurement & Taxes. Pls Attach Sched B & Form 801. Deposit Cheques Must Be A Min 5% Of Sold Price. Certified Cheques Or Bank Drafts Only.,"Beautiful 3 Bedroom Townhouse With Hardwood Floors & Crystal Chandelier, On Main Level. Spacious Kitchen With Breakfast Area. Walk-Out To Solarium With Private View Of Backyard & Beyond. Bright Family Room On Second Floor With Fireplace. Spacious Master Bedroom With 4Pc Ensuite. Recently Renovated Finished Basement With Additional Room & 3Pc Bath, Perfect For Additional Living Space Or Office. Close To Transit, Places Of Worship, Shopping, Schools, Hwy 401.","Fridge, Stove, B/I Dishwasher, Washer & Dryer.",Finished,
Detached,2-Storey,Brock Ridge,"$829,900","$815,000","$5,229",Meriadoc,2311,4,,4,45,2,125,Attached,Inground,Please Include Schedule B & 801 To All Offers.,"**Inground Pool** This Huge Yard Is Perfect For Entertaining!! Tons Of Space, Decks, Perennial Gardens & Cabana! Inside Boasts An Upgraded Kitchen W/ Pot Drawers, Backsplash, Breakfast Bar & Pantry! Bright, Open View From Sunroom! Hardwood Floors Throughout! Large Family Room W/Fireplace. 2nd Floor Features 4 Large Bedrooms. Master W/ W/I Closet 3 Pc Upgraded Bath With Huge Shower. A Finished Walk Out Basement With Bar & 3Pc Br Complete This Family Home.","Separate Entrance For In-Law Potential! Main Floor Laundry, Upgraded Panel (Over 350 Amps). Potlights, Inc. Fridge, Stove, Dishwasher, Washer, Dryer. Wood Fireplace In Bsmt.",Fin W/O,Sep Entrance
Detached,2-Storey,Brock Ridge,"$739,800","$720,000","$4,942",Pepperwood,1661,4,2,4,35,2,101,Attached,None,Email Offers To Shiv@Bansalteam.Com. Please Include Schedule B And Form 801 Attached. No Survey Available.,"Detached 4+2 Bedroom, 4 Bath In Pickering. **Oak Stairs ** No Neighbours Behind ** Open Concept Eat-In Kitchen With Granite Counters. Large Family Room. 2 Fireplaces. Separate Entrance Thru Garage To Bsmt W/2 Bedrooms, Kitchen, Rec Rm And 3 Pc. Bath. Newer Furnace And Roof","Ss (Fridge, Gas Stove, D/W, Hood Fan) Washer, Dryer, Shed, Bsmt (Fridge, Stove, Hood Fan) Elf's, Window Coverings, Central Air, Hwt (R).",Apartment,Sep Entrance
Detached,2-Storey,Brock Ridge,"$914,900","$893,000",$0,Saffron,2175,4,,4,30,2,92,Attached,None,"<< Motivated Seller >> << Offers Welcome Anytime! >> << Vacant Show Anytime>> Please Attach Sch ""B"" & Form 801 With All Offers. Buyer Or Buyer's Agent To Verify All Measurement & Taxes.Taxes Have Not Been Assessed. New Development ""Lot 32"". Corner Of Brock Rd And Major Oaks!","Show Stopper!!! This Brand New Glen Rouge Home (Waterfront Model) On Prime Ravine Lot, Approx 2700 Sq Ft, 4 Bedroom, 4 Bathroom Home Has Bright, Open Concept Design. Upgraded Oak Stairs! High Ceilings! Walk To Mosque & Many Amenities, *Two Mins To 401*Thousands Of $$$ Spent On Upgrades, Staircase, Granite Counters, Kitchen Backsplash, His & Her Sep Walk In Closet In Master Br.","Brand New S/S Stove, Fridge, Dishwasher. All Elf's. Many Upgrades. 2 Decks In Back. *** Bring Your Best Offers Welcome Anytime ***",Unfinished,
Detached,2-Storey,Brock Ridge,"$929,900","$916,000",$0,Saffron,2115,4,,4,30,2,92,Built-In,None,"<< Motivated Seller >> << Offers Welcome Anytime! >> << Vacant Show Anytime>> Please Attach Sch ""B"" & Form 801 With All Offers. Buyer Or Buyer's Agent To Verify All Measurement & Taxes.Taxes Have Not Been Assessed.","Show Stopper!!! This Brand New Glen Rouge Home ( Whitevale Model ) Is Located In Prime Pickering Location!!! 4 Bedroom, 4 Bathroom Home Has Bright, Open Concept Design. Over 2772 Sqft! Upgraded Oak Stairs! High Ceilings, Separate Side Entrance To In-Law Suite. Walkout Basement! Ravine Lot! 2 Min To Hwy 401, Malls, Shops, Restaurants, Schools: Public, French, High Schools & Islamic School, 1 Min Walk To Mosque (Masjid Usman)","$$$ Thousands Spent On Upgrades $$$. S/S Built In Oven And Microwave, Gas Stove Top, Large S/S Fridge, Dishwasher, Range Hood, New High-End Front Load Washer & Dryer, All Elfs (See Virtual Tour ) ** Bring Your Best Offers Welcome Anytime **",W/O,
Detached,2-Storey,Brock Ridge,"$729,999","$710,000","$4,706",Somergrove,1509,4,1,4,42,2,101,Built-In,None,"Motivated Sellers! All Reasonable Offers Will Be Considered. Hwt Is A Rental, Please Attached 801, Schedule B And Survey. Min 5% Deposit Please. Thanks For Your Efforts. Patio Gazebo Included As-Is, Emails Offer To Cleonabarretto@Gmail.Com","Beautiful**4 Bedroom Home Over 2000 Sq Ft On Main & Upper Floors** + Finished Basement Offers- Rec Room, 3Pc Bath + 2 Rooms That Could Be Used As Additional Bedrooms; Updated Kitchen Features Island, California Shutters, Stainless Appl & Breakfast Area W/Walkout To Patio. Main Fl Family Room W/Gas Fireplace. Large Master W/ Walk-In Closet, Ensuite & Reading Nook/Office; Main Fl Laundry. Close To 401 & Transit. Interlock Driveway. No Sidewalk.","Extras: S/S Fridge('14), Stove ('14) & Dishwasher('14), Washer, Dryer('14), All Light Fixtures. Gdo&2 Remotes, C/Vac, Roof ('06), Furance ('17), Shutters In Kitchen, Family & 2 Bedrooms, Gas Fireplace W/ Electric Fan, Excl:Drapes In Master",Finished,
Detached,Bungalow,Brock Ridge,"$759,900","$756,000","$5,982",Southcott,2369,2,1,3,44,2,113,Attached,None,"Please Attach Sch ""B"" With Offer. Deposit Must Be Bank Draft/Certified Cheque. Thank You For Showing.","Gorgeous Bungalow Finished Walk-Out Lower Level In Prestigious Exclusive Buckingham Gates Community. Hardwood Floors. 9 Ft Ceilings. Crown Moldings & Cathedral Ceilings In Open Concept Living & Dining Rooms. Kitchen W/ Corner Glass Cabinet, Pantry, Ss Fridge (2016), Ss Gas Stove (2016), Ss Hood Range & Custom Backsplash. Breakfast Area W/ W/O To Large Deck. Main Floor Laundry.","Large Master Retreat W/ W/I Closet And Lux 5Pc Ensute. Lower Lvl Offers Fantastic Rec Space W/ Gas Fireplace, Bright Bedroom, Full Bath, Tons Of Storage & W/O To Deck & Private Groomed Backyard W/ Shed. Convenient Entrance To Garage. Gdo's.",Fin W/O,
Detached,2-Storey,Brock Ridge,"$729,900","$705,000","$4,500",Theoden,2136,3,1,3,32,4,114,Attached,None,"Motivated Seller. Exclude: Main Foyer Lf, All Curtains, Walk In Closet Lf,Master Lf,Laundry Rm Lf. Show With Confidence, Lock Box For Easy Showing, Buyer/Broker Agent To Verify Lot & Measurements. Pls, Attach Sch. B, Form 801& Survey. Certified Cheque/Bank Draft.","Gorgeous Premium Home In High Demand Brockridge Community A Quiet Private Cul De Sac Backing Onto Treed Ravine And Park! Meticulously Reno'd Top To Bottom, Over $85K Spent, Frm Front Stone Pathway, Front/Back Landscaping, New Backyard Fence, Custom Built Gazebo+Deck, Grey Hardwood Floors, House Freshly Painted, California Shutters And Potlights Thruout, Newly Reno'd Bsmnt. (See Full List Attached). Dream Neighbourhood Bordered By Woodlands And Parkland.","S/S Fridge,S/S Stove,S/S Microwave,S/S Dishwasher,All California Shutters,Gazebo Deck Lights,Tv Mount,All Wshrm Lfs,Dining Rm & Kitchen Lfs,All Custom Made Closets,Hwt Owned,Outside Shed.",Finished,
Detached,2-Storey,Brock Ridge,"$979,900","$979,900","$7,951",Wildwood,2327,4,1,5,39,6,100,Attached,None,Finished Basement With Above Grade Windows & Door. Full Kitchen And Bathroom & Has It's Own Laundry As Well! Both Seller And Agent Make No Representation/Warranty Re Basement Inlaw Suite. Built By Coughlan Homes In 2003. A Beautiful Lot That Backs And Sides On To Tees.,"Q U A L I T Y ** B U I L T ** C O U G H L A N ** H O M E ** W I T H ** W A L K O U T ** B A S E M E N T **** Self Contained Above Grade Inlaw Suite! Premium Very Private Treed Lot! Beautifully Decorated, Immaculately Maintained By Original Owner. An Open Concept Home With An Abundance Of Natural Light Throughout. 2 Skylites, 2 Sun Tunnels, Above Grade Windows And Doors In Basement. 2 Laundry Rooms, 5 Bathrooms, 4 + 1 Bdrms!","2 Fridges, 2 Stoves, 2 B/I Dishwashers, 2 Washers, 2 Dryers, 2 B/I Microwaves, 2 Vented Skylites W/Screens & Rain Sensors, 2 Sun Tunnels, Furnace (2017), Central Air (2017), Alarm System (Monitoring Not Included), Central Vac",Fin W/O,Sep Entrance
Detached,2-Storey,Brock Ridge,"$899,000","$875,900","$4,849",Wildwood,2239,4,,4,36,4,190,Detached,Abv Grnd,"Easy Showings With 2 Hr Notice;!!! Please Attach Schedule ""B"" & Form 801 To Offers. The Buye Or Buye's Agent Has To Verify All The Measurements & Taxes.***Please View The Virtual Tour***","Meticulously Maintained Four Bedroom Detached Home W Marble Finished In Highly Desirable Beautiful Brock Ridge Neighborhood. Bright & Spacious Main Floor W Tiles, Eat-In Kitchen With W/O To Deck, Private Yard W Huge Lot. Have A Good Time In The Summer W 16X32' Above Ground Pool.Upgraded Granite Top Kitchen With Back Splash,Smooth Ceilings, Elegant Ceramic Flooring,Oak Staircase! Pride Of Ownership Has Ensured This Home Is Move In Ready. Pot Lights All Over","All Elf's, Fridge, Stove, Dishwasher, Microwave, Washer, Dryer, Window Coverings, Two Tier Deck W/Pressure Treated Wood. Garage Door Opener With 1 Remote, All Pool Equipment& Solar Blanket. Hot Water Tank Is Owned.",Finished,
Detached,2-Storey,Duffin Heights,"$699,800","$703,000","$5,047",Brandy,1575,4,,4,30,1,89,Attached,None,"Must Certify The Deposit Cheque & Attach Schedule ""B"" & Form 801 To All Offers - See View Attachment. The Buyer Or Buyer's Agent Has To Verify All The Measurements & Taxes.Offers If Any Will Be Reviewed On December 4 At 7 Pm. Please Register By 5 Pm As Per Seller.","Almost 2000 Sq Ft,2 Years New,Absolutely Spotless & Spacious Family Home In A Convenient Location And Friendly Neighborhood. Excellent Layout. 9' Ceiling, Hardwood Floor In Main Floor, Gas Fireplace, Stainless Steel Appliances, Granite Countertop,Breakfast Bar, Large Master Bedroom With Ensuite And Walk-In Closet. Professionally Finished Basement W/A Wet Bar And Recreation Area. Close To 401&407, Pickering Town Centre, Go Station, Still Under Tarion Warranty.","S/S Fridge, S/S Stove, Dishwasher, Microwave, Washer & Dryer, All Elf's, Window Coverings. Professionally Finished Basement Recreation Area With Wet Bar And Quartz Top.",Finished,
Semi-Detach...,2-Storey,Duffin Heights,"$610,000","$626,000","$4,362",Bruny,1551,3,,3,25,2,89,Attached,None,No Survey At The Moment. Attach Schedule B,"Absolutely Gorgeous! All Brick Home In Fabulous Location! Open Concept! Beautiful Hardwood Floors, Granite C/Top, Lots Of Pot-Lights Thruout Main Fl. Cali Shutters Throuout! Upgd Cabinets, Breakfast Bar, Freshly Painted, Gas Fireplace, Large W/I Closet, Spacious Bedrooms, Central A/C, Flooded With Natural Light! Garage Access. Easy Access To Public Transit, Places Of Worship, Parks School, Golf Course, Go Train, 401, 407. Bus Picks Up Kids At Front Of House!","Fridge, Stove, Washer, Dryer, Built In Dishwasher, Central Air Conditioning, Lovely California Shutters Throughout, Pretty Upgraded Light Fixtures, Freshly Painted",Full,
Att/Row/Twn...,3-Storey,Duffin Heights,"$599,000","$596,000","$4,138",Carousel,1774,3,,3,20,2,95,Attached,None,"Offers Welcome Anytime. Please Include 801/Sch. B. Email Mcmpacheco@Rogers.Com. Buyer And Buyers Agent To Verify All Taxes,Measurements And Listing Details.Cont *Part Block 43 Plan 40M2479, Parts 4 & 5, Plan 40R28122","Must See! Beautiful And Spacious, 3 Bedroom Home, In Family Neighbourhood Backing On To Green Space, Prime Location. Move In Ready Gleaming Hardwood Throughout First Floor ,Granite Kitchen Counter, Custom Wood Shutters Throughout, Open Concept, 9Ft Ceilings, 2 Spacious Covered Balcony For Additional Entertaining.. Min. To 401/ 407, Transit, Shopping, Dining, Entertainment.. Walk To Park And Golf Course.","Stainless Steel Kitchen Appliances (2016),Washer And Dryer, Custom California Shutters, Electrical Light Fixtures.",None,
Att/Row/Twn...,3-Storey,Duffin Heights,"$699,000","$680,000","$4,800",Carousel,1711,3,1,3,25,1,96,Attached,None,"Easy To Show, Lbx, Vacant. Email Offers To Anikahomes@Gmail.Com With 24Hr Irrevocable. Attache Form 801. Thank You For Showing!","Dufferin Heights, Stunning End Unit Sun Filled Freehold End Unit Townhome, Approx. 2600 Sq.Ft. Of Living Space For Your Family To Enjoy. Office/Library Can Be Used As 4th Bed! Modern Kitchen With Center Island, Granite, Open Concept, Living/Dining With Hardwood Floors, 9' Ceilings On The Main Floor, Family Room With Walk Out To Rear Yard, Deck Off Breakfast Area And Master With Ensuite, W/I Closet And Balcony. Excellent Location! Public Transit At The Door","Stainless Fridge & Stove, Dishwasher, Light Fixtures, Garage Door Opener, Air Conditioner. Washer/Dryer Combo.",Fin W/O,
Att/Row/Twn...,2-Storey,Duffin Heights,"$599,800","$595,000","$4,062",Earl Grey,2446,3,,3,20,2,89,Detached,None,Lockbox For Showings Anytime.Please Give 3 Hrs Notice For Showings. Offers Welcomed Anytime. Must Attach Form 801 & Sch B. Never Any Marketing Fees!,"4 Year New Freehold Lebovic Home In A Quiet & Friendly Neighborhood! Mins To 401/407, This Sun Filled Open Concept 3Br Boasts Hardwood Floors Throughout & 9' Ceilings On Main Floor. Upgraded Light Fixtures, Custom Granite Counter W/ Breakfast Area, Backsplash & Stainless Steel Appliances Are Just Some Of The Modern Luxuries You Can Enjoy Immediately. Lounge In The Large Master Bedroom W/4Pc Ensuite & W/I Closet, Entertain Guests In Fully Fenced Backyard!","Ss Fridge, Stove, Mircowave Rangehood, B/I Dishwasher, Washer, Dryer, Ac, Furnace, All Blinds,Shelving Units On Main & Upstairs Wr. Excludes: Window Covering & Rods In Mstr, All Tvs Mount & Brackets, B/I Speakers In Lr, Cupboards In Office",Unfinished,
Detached,2-Storey,Duffin Heights,"$839,300","$830,000","$5,800",Earl Grey,2455,4,1,4,36,2,89,Built-In,None,Buyer And Buyer's Agent Are To Confirm All The Information & Dimensions.Less Mf $299.00,"**Walkout Ravine Lot"""" Welcome To An Inviting Floor Plan Perfect For Any Family. This Spacious 4 Bdrm Home Features Hardwood Throughout Main Floor & Upstairs Landing, Gas Fireplace In Family Room, Double Door Entry To Master Retreat W/Ensuite Bath, His & Her Closets, Generous Sized Rooms, Convenient 2nd Floor Laundry & Direct Access To Garage. **See Virtual Tour** Legally Finished Basement","Walk To Park & Golf Club. Mins To Hwy 401 & 407. Includes Stainless Steel (2 Stove, 2 Fridge, 1 B/I Dishwasher), 2 Washer & 2 Dryer, Central Air Conditioner, All Electrical Light Fixtures & All Window Coverings",Fin W/O,Sep Entrance
Att/Row/Twn...,2-Storey,Duffin Heights,"$615,000","$605,000","$4,032",Liatris,1871,3,,3,23,1,82,Built-In,None,"Hot Water Tank Is A Rental. Please Allow 24 Hours Irrevocable. Attach Form 801 And Schedule B. Seller Prefers To Review Mortgage Pre-Approval. Deposit To Be Certified Cheque Or Bank Draft Payable To ""Re/Max West Kabani Realty"" Questions? Text For Quick Reply 416-832-2000.","Welcome To 1871 Liatris Drive Located In The Sought-After Community Of Duffin Heights! This Is A 5 Year New Mattamy Built Freehold (No Maintenance Fees) Townhouse. You Can Feel All The Luxury Finished As Soon As You Open The Door! Open Concept Main Floor With Hardwood Flooring, Upgraded Kitchen With Custom Island, Huge Family Room And Separate Formal Dining Room. Private Master Retreat Has 4 Piece Bath Plus Walk-In Closet. Convenient Second Floor Laundry.","You Are Literally Minutes Away From The Mall, Major Shopping Plazas, Highways, Train Station, Within Few Hundred Feet To A Bus Stop, Park And 9-Hole Golf Course. Stainless Steel Kitchen Appliances, Washer And Dryer Are Included.",Full,Unfinished
Att/Row/Twn...,2-Storey,Duffin Heights,"$625,000","$617,500","$4,141",Liatris,1852,3,1,3,23,1,82,Built-In,None,"Hot Water Tank Is A Rental. Please Allow 24 Hours Irrevocable. Attach Form 801 And Schedule B. Seller Prefers To Review Mortgage Pre-Approval. Deposit To Be Certified Cheque Or Bank Draft Payable To ""Re/Max West Kabani Realty"" Questions? Text For Quick Reply 416-832-2000.","Welcome To 1852 Liatris Drive Located In The Sought-After Community Of Duffin Heights! This Is A Mattamy Built Freehold (No Maintenance Fees) Townhouse. You Will Feel Right At Home As Soon As You Open The Door! Open Concept Main Floor With Hardwood Flooring, Large Living Room And Separate Formal Dining Room. At The Top Of The Steps There Is A Spacious Loft. Private Master Retreat W/ 3 Piece Bath Ensuite Plus Walk-In Closet. Convenient 2nd Floor Laundry Room.","Minutes Away From The Mall, Major Shopping Plazas, Highways, Train Station, Within Few Hundred Feet To A Bus Stop, Park And 9-Hole Golf Course. Stainless Steel Kitchen Appliances, Washer And Dryer Are Included.",Unfinished,
Detached,2-Storey,Duffin Heights,"$789,900","$760,000","$4,851",Misthollow,1826,3,1,4,35,2,90,Attached,None,Sold Conditional (Still Showing Property)! Seller & Agent Do Not Warrant The Retrofit Of The Basement .Please Attach Sch B And Form 801. Email Offers To Offers@Terrequity.Com. All Deposit Chq/Bank Draft Must Be Certified.,"Absolute Stunner! Move In Ready Top To Bottom Upgraded Mattamy Home~shows Like A Model Home, Featuring 9' Ceilings, Upgraded Kitchen With Centre Island & Granite Countertops, Gas Fireplace W Upgraded Mantel, Solid Oak Staircase, Brand New Hardwood Floor, Master Bedroom Features Ensuite With Large Glass Shower & Separate Soaker Tub. Basement Is Legally Finished With One Bedroom Apt & Separate Entrance! Convenient 2 Separate Laundries (Main Floor + Basement)!","This Homes Comes With 2 Stainlesssteel Stoves (One Is Gas), 2 Fridges (One Stainlesssteel Double Dr), B/I Dishwasher, B/I Microwave, 2-Washer & Dryer, Central Air Conditioning, All Customs Blinds & Light Fixtures! Potential Monthly Income!",Finished,Sep Entrance
Att/Row/Twn...,2-Storey,Duffin Heights,"$635,000","$630,000","$4,023",Tillings,2422,3,,3,20,1,96,Detached,None,"Offers Welcome Anytime With 24 Hr.Irrevocable. See List Of Upgrades, Survey, Layout Plan & Room Measurements, List Of Upgrades By Builder. Home Built By Coughlan Homes In 2012, 1,544 Sq Ft As Per Builder.","Absolutely Gorgeous Home With Many Many Quality Upgrades! Coughlan Built Townhouse With Detached Garage. Lovely Finishes Include Brazilian Walnut Floors On Main Floor, Upgraded Broadloom On 2nd Floor, Upstairs Laundry,Upgraded Bathrooms,Upgraded 4""Baseboards,Stained Stairs & Railings,High Efficiency Furnace, Central Air,Professionally Landscaped!","Stainless Kitchen Aid Fridge,Stove,Built-In Dishwasher & Microwave/Exhaust, Washer/Dryer, Custom Window Blinds, Newer Elf's,Hot Water Tank(Owned-2014),Garage Door Opener,Rough In For Washroom In Bsmt, Cedar Deck With Outdoor Lanterns.",Full,
Detached,2-Storey,Duffin Heights,"$669,000","$670,000","$5,332",Winville,1557,3,,3,30,2,100,Built-In,None,"See Attachments For Home Inspection Report, Floor Plans, Schedule B, Form 801. Deposit To Be In The Form Of A Bank Draft. Please Email Offers To Delfa@Rogers.Com With Min. 12-Hr Irrev. Buyer To Verify Taxes And Measurements. Showings Anytime.","This Recently Updated 1774 Sq/Ft 3 Bedroom Family Home Is Situated On A Premium 100Ft Ravine Lot In The Popular Duffin Heights Community In Pickering.The Home Boasts A Fabulous Functional Layout That Features An Open Concept Living/Dining Room, Updated Kitchen With Stainless Steel Appliances, Large Family Room With Gas Fireplace, Three Spacious Bedrooms Including Large Windows And Closets, Two Full Bathrooms On The Second Floor And A Fully-Fenced Backyard.","Other Special Highlights Include 9Ft Ceilings, Freshly Painted Throughout, Gas Fireplace, Pot-Lights, And Tons Of Storage Space. Conveniently Close To Shops, Schools, Parks And Transportation. Incl. All Appliances, Window Coverings, Lights.",Unfinished,
Detached,Backsplit 3,Dunbarton,"$924,800","$888,000","$6,036",Bonita,1941,3,1,3,72,4,150,Built-In,None,"Offers Any Time, Thank You For Showing! Please Attach Sched B, Form 801 & Mortgage Pre-Qual To All Offers.**Showing Confirmation/Notifications Via Email** La Related To Seller, Pls See Attachment. Buyer / Agent To Verify All Measurements. Home Protected By Sentrilock.","One-Of-A-Kind! 3+1 Bed, 3 Bath Home In One Of The Most Sought-After Neighbourhoods In Pickering! This Sprawling Back-Split Sits On An Impressive 72.44 X 150 Lot. Skylights & Huge Windows Flood The Home W/Natural Daylight. Generous-Sized Rooms W/Vaulted Ceilings & Gleaming Hardwood Throughout. Above Grade Windows Keep The Basement Bright While Offering Plenty Of Storage, Office Space & A 4th Bedroom. Perfect For Indoor & Outdoor Entertaining!","Located In The Coveted William Dunbar School District! Close To 401, 407, Parks Incl: Fridge, Stove, B/I Dishwasher, Washer & Dryer, All Elf's, All Rods &Blinds / Shutters, Gdo & Remotes Excl: All Curtains, Fridge In Basement, Wine Fridge",Crawl Space,Finished
Detached,2-Storey,Dunbarton,"$899,900","$871,000","$6,254",Erin Gate,2017,4,1,4,32,3,115,Attached,None,Lock Box For Easy Showings! Attach Schedule B & Form 801 For Registration Or Copy Of Signed Offer Required To Frontdesk@Remaxcommunity.Ca. Buyer/Buyer's Agent To Verify All Measurements & Taxes. Thank You For Showing!!,"Beautifully Renovated 4+1 Bedroom Home With 9 Ft Ceilings. Fully Finished Basement With Rec Room, Bar & Bathroom, Kitchen, Bedroom! Well Maintained Home With A Great Open Concept Main Floor And Double Garage Located In A Convenient Location! Close To Schools, Park, Go Transit, Mins To Highway 401, Highway 407, Shopping Center & Much More!!","Stainless Steel(French Door Fridge, Gas Stove, Dishwasher, Hood Fan, Microwave And Washer/Dryer) All Elf's And All Window Coverings. Basement(Fridge,Stove, Microwave And Fan) No Survey On File.",Apartment,Finished
Detached,2-Storey,Dunbarton,"$1,350,000","$1,300,000",$0,Fairport,1956,4,1,5,48,4,115,Attached,None,"Open House Saturday Oct. 14 @ 2:00-5:00Pm And Sunday Oct. 15 @ 1:00Pm To 4:00Pm Attach Sch B & 801 To All Offers, Seller Related To La. Pls Provide Disclosure. Lbx For Easy Showings. Call La Before Drafting Offer.","New Custom Builders Home! Walk Out, Gourmet Kitchen W/ Island + S/S Appliances. 10' Smooth Ceiling, Waffle Ceiling, Coffered + Crown On Main. Hardwood Throughout, Two Story Open Foyer. 2 Flr Master W/ Spa Like 5Pc Ensuite + 3 Bed W/ 2 Full Baths, 2nd Floor Laundry. W/O Professionally Finished Bsmt 9'' Ceilings, Heated Floors W/ Kitchen- Family Room 3 Pc Bath, 1 Bedroom All Upgraded Fixtures/Mirrors","S/S Fridge, S/S Stove, S/S Dishwasher, Microwave, Washer, Dryer, All Elf's, In Floor Heat Gas Boiler System, R/I I/G Sprinkler System, Gas B & E, Cac, Garage Door Opener, Fully Fenced Lot",Full,W/O
Detached,2-Storey,Dunbarton,"$1,350,000","$1,315,000",$0,Fairport,1958,4,1,5,48,2,115,Built-In,None,"Open House Saturday Sept 23rd @ 1:00-4:00Pm And Sunday Sept 24th @ 2:00-5:00Pm Attach Sch B & 801 To All Offers, Seller Related To La. Pls Provide Disclosure. Lbx For Easy Showings. Call La Before Drafting Offer.","New Custom Builders Home! Walk Out, Gourmet Kitchen W/ Island + S/S Appliances. 10' Smooth Ceiling, Waffle Ceiling, Coffered + Crown On Main. Hardwood Throughout, Two Story Open Foyer. 2 Flr Master W/ Spa Like 5Pc Ensuite + 3 Bed W/ 2 Full Baths, 2nd Floor Laundry. W/O Professionally Finished Bsmt 9'' Ceilings, Heated Floors W/ Kitchen- Family Room 3 Pc Bath, 1 Bedroom All Upgraded Fixtures/Mirrors","S/S Fridge, S/S Stove, S/S Dishwasher, Microwave, Washer, Dryer, All Elf's, In Floor Heat Gas Boiler System, R/I I/G Sprinkler System, Gas B & E, Cac, Garage Door Opener, Fully Fenced Lot",Apartment,W/O
Detached,Bungalow,Dunbarton,"$915,000","$885,000","$7,390",Falconwood,1876,2,2,3,44,2,130,Attached,None,Hwt Is Rental. Include Schedule B & Form 801 W/ All Offers (See Attached),"Gorgeous Bungalow On 130' Deep Lot Backing Onto Ravine & Surrounded By Million Dollar Homes In A Prestigious Pocket In Pickering. 2 Car Garage, Bright & Spacious Rooms, W/O From Kitchen To Deck, 2 Gas Fireplaces, Family Sized Eat-In Kitchen W/ Under Cabinet Lighting. Ceramic Floors In Entry, Kitchen, All Baths & Laundry Room W/ Walkout To Garage. Hardwood Floors Throughout Living, Dining, Family Room & Hallways. Furnace & A/C (2015), Cvac.","Include: Fridge, Stove, Dishwasher, Microwave, Washer & Dryer, All Window Coverings & California Shutters. Exclude: Dining Room Light Fixture & Bird Feeder.",Fin W/O,
Detached,2-Storey,Dunbarton,"$2,195,000","$1,953,000","$14,315",Goldenridge,1627,5,3,7,74,6,139,Attached,None,"Buyers & Buyers Agent To Verify All Room Measurements & Tax Amounts. Please Allow 24 Hours Notice For Showings. Pls Attach Sched B & Form 801 To Any Offers. Excl: All Wall Tv's In Home. 3% + Hst Co-Op Commission. *Legal Desc Continued: Cp 1051, Pt 2 Pl 40R24971 City Of Pickering","The Height Of Perfection!Custom Built Luxury Home Situated In Prestigious Enclave Offering Over 5,100 Sq Ft Finishes To The Highest Of Standards W/Extensive Upgrades. Elegant Main Floor Layout W/Astounding Gourmet Kitchen, Herringbone Floors & Soaring 2 Storey & 10Ft Ceilings. Enormous Master W/Balcony, Fireplace, W/I & Spa Like Ensuite. 2nd Master Option Or Impressive Office. Oversized Bedrooms, Finished W/U Basement W/Aprx. 2,400 Sq Ft. In Law Suite & More.","Layout Is Ideal For Multigenerational Families. Extensive Landscaping Feat B/I Outdoor Kitchen,Gas Fire Pit,Turf Lawn For Zero Maintenance & Extra Wide Lot!2 Geo Thermal Furnaces,Theatre &Top Tier Home Automation Offering Every Convenience.",Finished,Walk-Up
Detached,Bungalow,Dunbarton,"$699,000","$650,000","$6,115",Spruce Hill,1725,3,,2,128,2,351,None,None,Attach Schdule B For All Offers. Call Listing Agent For Any More Details. Arshadh 647-808-5908,This Older Home (Lot) Is On Spruce Hill Road Where Lots Of New Homes Are Being Built. The Property Front Is 128 Feet And Depth 351 Feet. The Lot Goes From Spruce Hill Road To Fairport Road. Fairport Front 68 Feet. This Is A Irregular Lot And Has An Easement. (Sewer Line On One Side Of The Property). There Is An Existing House On The Property With A Finished Basement. According To The City You Can Build Only One House. Cn Rail Track On The South Side.,Seller Or Sellers Agent Is Not Responsible For Measurements.,Finished,
Detached,2-Storey,Dunbarton,"$1,399,000","$1,335,000","$7,605",Spruce Hill,1915,4,1,3,106,10,296,Attached,Inground,"Easy To Show. Pls Attach Certified Or Bank Draft Deposit Cheque, Schedule B & Form 801 To All Offers. Survey Is Available. Buyer & Buyers Agent To Verify Measurements And Taxes. Great Home, Immaculate, Tasteful Decor.",Dwell In The Realm Of Sanctuary...Masterfully Crafted Greenpark Custom Re-Build Immersed In Natural Light Highlighting Soaring Vaulted Ceilings And With Over 3300 Sq Ft Of Casual Elegance On Almost 3/4 Acre 106 Ft X 296 Ft Lot With In-Ground Pool...Unlimited Possibilities.Check Out The Drone Video! Great Schools & All Amenities Minutes Away.,"Central Air, Fridge, Stove, Built-In Dishwasher, Washer & Dryer, Quartz Counters, In-Ground Pool & Equipment, Multi-Vehicle Garage + Abundant Parking On A Private Drive Lined With Majestic Spruce.",Finished,
